INFO - Episode, Tick, Reward
INFO - 0,287,0
INFO - 0,288,0
INFO - 0,289,0
INFO - 0,290,-1
INFO - 0,291,0
INFO - 0,292,0
INFO - 0,293,0
INFO - 0,294,0
INFO - 0,295,2
INFO - 1,0,0
INFO - 1,1,0
INFO - 1,2,0
INFO - 1,3,0
INFO - 1,4,0
INFO - 1,5,0
INFO - 1,6,0
INFO - 1,7,0
INFO - 1,8,0
INFO - 1,9,0
INFO - 1,10,0
INFO - 1,11,0
INFO - 1,12,0
